date,direction,visibility,arrows_code
201912050950,0,19500,11111111111111111
201912050950,45,30700,11111111111111111111
201912050950,90,28100,1111111111111111111
201912050950,135,6800,11111111
201912050950,180,15800,111111111111111
201912050950,225,7900,111111111
201912050950,270,10400,11111111111111111111111
201912050950,315,20900,11111111111111111111
201912051020,0,19500,11111111111111111
201912051020,45,30700,11111111111111111111
201912051020,90,28100,1111111111111111111
201912051020,135,6800,11111111
201912051020,180,15800,111111111111111
201912051020,225,7900,111111111
201912051020,270,10400,11111111111111111111111
201912051020,315,20900,11111111111111111111
201912051050,0,19500,11111111111111111
201912051050,45,30700,11111111111111111111
201912051050,90,28100,1111111111111111111
201912051050,135,6800,11111111
201912051050,180,15800,111111111111111
201912051050,225,7900,111111111
201912051050,270,10400,11111111111111111111111
201912051050,315,20900,11111111111111111111
201912051120,0,19500,11111111111111111
201912051120,45,30700,11111111111111111111
201912051120,90,28100,1111111111111111111
201912051120,135,6800,11111111
201912051120,180,5900,011111111111111
201912051120,225,7900,111111111
201912051120,270,10400,11111111111111111111111
201912051120,315,20900,11111111111111111111
201912051150,0,19500,11111111111111111
201912051150,45,30700,11111111111111111111
201912051150,90,28100,1111111111111111111
201912051150,135,6800,11111111
201912051150,180,15800,111111111111111
201912051150,225,7900,111111111
201912051150,270,10400,11111111111111111111111
201912051150,315,20900,11111111111111111111
201912051220,0,19500,11111111111111111
201912051220,45,30700,11111111111111111111
201912051220,90,28100,1111111111111111111
201912051220,135,6800,11111111
201912051220,180,15800,111111111111111
201912051220,225,7900,111111111
201912051220,270,10400,11111111111111111111111
201912051220,315,20900,11111111111111111111
201912051250,0,19500,11111111111111111
201912051250,45,30700,11111111111111111111
201912051250,90,28100,1111111111111111111
201912051250,135,6800,11111111
201912051250,180,15800,111111111111111
201912051250,225,7900,111111111
201912051250,270,10400,11111111111111111111111
201912051250,315,20900,11111111111111111111
201912051320,0,19500,11111111111111111
201912051320,45,30700,11111111111111111111
201912051320,90,28100,1111111111111111111
201912051320,135,6800,11111111
201912051320,180,15800,111111111111111
201912051320,225,7900,111111111
201912051320,270,10400,11111111111111111111111
201912051320,315,20900,11111111111111111111
201912051350,0,19500,11111111111111111
201912051350,45,30700,11111111111111111111
201912051350,90,28100,1111111111111111111
201912051350,135,6800,11111111
201912051350,180,15800,111111111111111
201912051350,225,7900,111111111
201912051350,270,10400,11111111111111111111111
201912051350,315,20900,11111111111111111111
201912051420,0,19500,11111111111111111
201912051420,45,30700,11111111111111111111
201912051420,90,28100,1111111111111111111
201912051420,135,6800,11111111
201912051420,180,15800,111111111111111
201912051420,225,7900,111111111
201912051420,270,10400,11111111111111111111111
201912051420,315,20900,11111111111111111111
201912051450,0,19500,11111111111111111
201912051450,45,30700,11111111111111111111
201912051450,90,28100,1111111111111111111
201912051450,135,6800,11111111
201912051450,180,15800,111111111111111
201912051450,225,7900,111111111
201912051450,270,10400,11111111111111111111111
201912051450,315,20900,11111111111111111111
201912051520,0,19500,11111111111111111
201912051520,45,30700,11111111111111111111
201912051520,90,28100,1111111111111111111
201912051520,135,6800,11111111
201912051520,180,15800,111111111111111
201912051520,225,7900,111111111
201912051520,270,10400,11111111111111111111111
201912051520,315,20900,11111111111111111111
201912060720,0,18000,01111111111111111
201912060720,45,30700,11111111111111111111
201912060720,90,28100,1101111111111111111
201912060720,135,6800,11111111
201912060720,180,15800,111111111111111
201912060720,225,7900,111111111
201912060720,270,10400,11111111111111111111111
201912060720,315,20900,11111111111111111111
201912060750,0,18000,01111111111111111
201912060750,45,30700,11111111111111111111
201912060750,90,28100,1101111111111111111
201912060750,135,6800,11111111
201912060750,180,15800,101111111111111
201912060750,225,7900,111111111
201912060750,270,10400,11111111111111111111111
201912060750,315,20900,11111111111111111111
201912060820,0,18000,01111111111111111
201912060820,45,30700,11111111111111111111
201912060820,90,28100,1101111111111111111
201912060820,135,4200,01111111
201912060820,180,15800,101111111111111
201912060820,225,7900,111111111
201912060820,270,10400,11111111111111111111111
201912060820,315,20900,11111111111111111111
201912060850,0,18000,01111111111111111
201912060850,45,30700,11111111111111111111
201912060850,90,28100,1101111111111111111
201912060850,135,4200,01111111
201912060850,180,15800,101111111111111
201912060850,225,7900,111111111
201912060850,270,10400,11111111111111111111111
201912060850,315,20900,11111111111111111111
201912060920,0,18000,01111111111111111
201912060920,45,30700,11111111111111111111
201912060920,90,28100,1111111111111111111
201912060920,135,6800,11111111
201912060920,180,5500,001111111111111
201912060920,225,7900,111111111
201912060920,270,10400,11111111111111111111111
201912060920,315,20900,11111111111111111111
201912060950,0,18000,01111111111111111
201912060950,45,30700,11111111111111111111
201912060950,90,28100,1111111111111111111
201912060950,135,6800,11111111
201912060950,180,5900,011111111111111
201912060950,225,7900,111111111
201912060950,270,10400,11111111111111111111111
201912060950,315,20900,11111111111111111111
201912061020,0,18000,01111111111111111
201912061020,45,30700,11111111111111111111
201912061020,90,28100,1111111111111111111
201912061020,135,6800,11111111
201912061020,180,5900,011111111111111
201912061020,225,7900,111111111
201912061020,270,10400,11111111111111111111111
201912061020,315,20900,11111111111111111111
201912061050,0,18000,01111111111111111
201912061050,45,30700,11111111111111111111
201912061050,90,28100,1111111111111111111
201912061050,135,6800,11111111
201912061050,180,5900,011111111111111
201912061050,225,7900,111111111
201912061050,270,10400,11111111111111111111111
201912061050,315,20900,11111111111111111111
201912061120,0,18000,01111111111111111
201912061120,45,30700,11111111111111111111
201912061120,90,28100,1111111111111111111
201912061120,135,6800,11111111
201912061120,180,5900,011111111111111
201912061120,225,7900,111111111
201912061120,270,10400,11111111111111111111111
201912061120,315,20900,11111111111111111111
201912061150,0,18000,01111111111111111
201912061150,45,30700,11111111111111111111
201912061150,90,28100,1111111111111111111
201912061150,135,6800,11111111
201912061150,180,15800,111111111111111
201912061150,225,7900,111111111
201912061150,270,10400,11111111111111111111111
201912061150,315,20900,11111111111111111111
201912061220,0,18000,01111111111111111
201912061220,45,30700,11111111111111111111
201912061220,90,28100,1111111111111111111
201912061220,135,6800,11111111
201912061220,180,15800,111111111111111
201912061220,225,7900,111111111
201912061220,270,10400,11111111111111111111111
201912061220,315,20900,11111111111111111111
201912061320,0,19500,11111111111111111
201912061320,45,30700,11111111111111111111
201912061320,90,28100,1111111111111111111
201912061320,135,6800,11111111
201912061320,180,15800,111111111111111
201912061320,225,7900,111111111
201912061320,270,10400,11111111111111111111111
201912061320,315,20900,11111111111111111111
201912081420,0,19500,11111111111111111
201912081420,45,30700,11111111111111111111
201912081420,90,28100,1111111111111111111
201912081420,135,6800,11111111
201912081420,180,15800,111111111111111
201912081420,225,7900,111111111
201912081420,270,10400,11111111111111111111111
201912081420,315,20900,11111111111111111111
201912081520,0,19500,11111111111111111
201912081520,45,30700,11111111111111111111
201912081520,90,28100,1111111111111111111
201912081520,135,6800,11111111
201912081520,180,15800,111111111111111
201912081520,225,7900,111111111
201912081520,270,10400,11111111111111111111111
201912081520,315,20900,11111111111111111111
201912090820,0,3800,00000001111111111
201912090820,45,8900,01111111111111111111
201912090820,90,16700,0011111111111111111
201912090820,135,6800,11111111
201912090820,180,4700,000111111111111
201912090820,225,3800,000011111
201912090820,270,6500,00011111111111111111111
